1;3;1;Ligia;ligia@gmail.com;ligia123
2;3;1;Alexandre;alexandre@gmail.com;alexandre132
3;3;1;Fernando;fernando@gmail.com;feh456
4;3;1;Henrique;henrique@gmail.com;henrique567
5;3;1;João;joao@hotmail.com;jo786
6;3;1;Bruno;bruno@gmail.com;brunao123
7;3;1;Mariana;mariana@outlook.com;mari798
8;2;1;Ricardo Lemos;ricardo.lemos@spmedicalgroup.com.br;lemos368
9;2;1;Roberto Possarle;roberto.possarle@spmedicalgroup.com.br;possarle143
10;2;1;Helena Strada;helena.souza@spmedicalgroup.com.br;helena345
11;1;1;Zezinho;zezinho@gmail.com;zeze156
12;1;1;Luisinho;luisinho@gmail.com;lulu143
